Course_Lang,Level_Code,Prerequisite_3_grade,Offline,Availability,Website,Prerequisite_1_grade,Remarks,University,Course,Duration,Prerequisite_3,Face_to_Face,Faculty,Prerequisite_1,Blended,Int_Fees,Full_Time,Country,Prerequisite_2,Prerequisite_2_grade,Currency,Part_Time,Duration_Time,Description,Online,Distance,City,Currency_Time,Local_Fees,Career_Outcomes
English,ADIP,,yes,D,https://tafeqld.edu.au/oneweb/courses/17916/advanced-diploma-of-engineering,5.5,,TAFE Queensland,Advanced Diploma of Engineering,2,,yes,Engineering,IELTS,yes,,no,Australia,,,AUD,no,Years,Redefine your engineering career with this high-level course and develop the specialised skills and knowledge required to become a mechanical engineering technician or engineering associate.,yes,no,Brisbane,year,"19,680",
English,ADIP,,yes,A,https://tafeqld.edu.au/oneweb/courses/18213/diploma-of-applied-fashion-design-and-merchandising-advanced-diploma-of-applied-fashion-design-and-merchandising,5.5,,TAFE Queensland,Diploma of Applied Fashion Design and Merchandising / Advanced Diploma of Applied Fashion Design and Merchandising,2,,yes,"Architecture, Building & Planning",IELTS,no,"31,000",yes,Australia,,,AUD,no,Years,Elevate your fashion career with this advanced dual qualification. Gain the technical and creative skills required to work as a senior fashion designer.,no,no,Brisbane,year,"27,360",
English,ADIP,,yes,D,https://tafeqld.edu.au/oneweb/courses/18017/advanced-diploma-of-applied-fashion-design-and-merchandising,5.5,,TAFE Queensland,Advanced Diploma of Applied Fashion Design and Merchandising,2,,yes,"Architecture, Building & Planning",IELTS,no,,yes,Australia,,,AUD,no,Years,Elevate your fashion career to the next level with this advanced course. Gain the technical and creative skills required to work as a senior fashion designer.,no,no,Brisbane,year,"28,170",
English,ADIP,,yes,D,https://tafeqld.edu.au/oneweb/courses/17729/advanced-diploma-of-building-and-construction-management,5.5,,TAFE Queensland,Advanced Diploma of Building and Construction (Management),2,,yes,Business & Commerce & Finance & Accounting,IELTS,no,,no,Australia,,,AUD,yes,Years,Take your building and construction management career to the next level with this advanced qualification. Apply for your Builder Project Management Services licence and become a qualified project manager or job site supervisor for high-rise construction work.,yes,no,Online,year,"8,290",
English,ADIP,,yes,D,https://tafeqld.edu.au/oneweb/courses/17914/advanced-diploma-of-electrical-engineering,5.5,,TAFE Queensland,Advanced Diploma of Electrical - Engineering,6,,yes,Engineering,IELTS,yes,,no,Australia,,,AUD,no,Months,Enrich your career in electrotechnology with this high-level course and gain the advanced skills and knowledge required to work as a senior technical officer.,yes,no,Brisbane,year,"23,085",
English,ADIP,,yes,D,https://tafeqld.edu.au/oneweb/courses/18252/advanced-diploma-of-process-plant-technology,5.5,,TAFE Queensland,Advanced Diploma of Process Plant Technology,6,,yes,Computer Science & Information Technology,IELTS,no,,no,Australia,,,AUD,yes,Months,Elevate your career in process manufacturing with this advanced qualification. Develop your existing skills and knowledge to become a qualified process plant project coordinator or operations manager.,no,no,Brisbane,year,"2,025",
English,ADIP,,yes,D,https://tafeqld.edu.au/oneweb/courses/18068/advanced-diploma-of-music-industry,5.5,,TAFE Queensland,Advanced Diploma of Music Industry,1,,yes,Computer Science & Information Technology,IELTS,no,,yes,Australia,,,AUD,yes,Year,Take control of your career and gain the elevated skills you need to thrive in the music industry. Develop the advanced knowledge and specialised creative skills required to work as a music arranger or sound engineer.,no,no,Queensland,year,"13,590",
English,BA,,yes,D,https://tafeqld.edu.au/oneweb/courses/17858/bachelor-of-applied-management,5.5,,TAFE Queensland,Bachelor of Applied Management,1,,yes,Business & Commerce & Finance & Accounting,IELTS,no,,no,Australia,,,AUD,yes,Year,"Fast-track your career in management with this degree, and be industry-ready in as little as one year.",no,no,Brisbane,year,"10,951",
English,ADIP,,yes,D,https://tafeqld.edu.au/oneweb/courses/17729/advanced-diploma-of-building-and-construction-management,5.5,,TAFE Queensland,Advanced Diploma of Building and Construction (Management),2,,yes,Business & Commerce & Finance & Accounting,IELTS,no,,no,Australia,,,AUD,yes,Years,Take your building and construction management career to the next level with this advanced qualification. Apply for your Builder Project Management Services licence and become a qualified project manager or job site supervisor for high-rise construction work.,yes,no,Online,year,"8,290",
English,ADIP,,yes,D,https://tafeqld.edu.au/oneweb/courses/17914/advanced-diploma-of-electrical-engineering,5.5,,TAFE Queensland,Advanced Diploma of Electrical - Engineering,6,,yes,Engineering,IELTS,yes,,no,Australia,,,AUD,no,Months,Enrich your career in electrotechnology with this high-level course and gain the advanced skills and knowledge required to work as a senior technical officer.,yes,no,Brisbane,year,"23,085",
English,ADIP,,yes,D,https://tafeqld.edu.au/oneweb/courses/18252/advanced-diploma-of-process-plant-technology,5.5,,TAFE Queensland,Advanced Diploma of Process Plant Technology,6,,yes,Computer Science & Information Technology,IELTS,no,,no,Australia,,,AUD,yes,Months,Elevate your career in process manufacturing with this advanced qualification. Develop your existing skills and knowledge to become a qualified process plant project coordinator or operations manager.,no,no,Brisbane,year,"2,025",
English,ADIP,,yes,D,https://tafeqld.edu.au/oneweb/courses/18068/advanced-diploma-of-music-industry,5.5,,TAFE Queensland,Advanced Diploma of Music Industry,1,,yes,Computer Science & Information Technology,IELTS,no,,yes,Australia,,,AUD,yes,Year,Take control of your career and gain the elevated skills you need to thrive in the music industry. Develop the advanced knowledge and specialised creative skills required to work as a music arranger or sound engineer.,no,no,Queensland,year,"13,590",
English,ADIP,,yes,D,https://tafeqld.edu.au/oneweb/courses/18490/diploma-of-photography-and-photo-imaging-advanced-diploma-of-visual-arts,5.5,,TAFE Queensland,Diploma of Photography and Photo Imaging / Advanced Diploma of Visual Arts,18,,yes,Mass Communication & Media,IELTS,no,,yes,Australia,,,AUD,no,Months,Shed some light on professional photography by enrolling in the Diploma of Photoimaging / Advanced Diploma of Visual Arts (Focus on Photography). Our highly experienced industry professionals will teach you both the art and science of photography.,no,no,Brisbane,year,"21,430",
English,ADIP,,yes,D,https://tafeqld.edu.au/oneweb/courses/18173/diploma-of-graphic-design-advanced-diploma-of-graphic-design,5.5,,TAFE Queensland,Diploma of Graphic Design / Advanced Diploma of Graphic Design,18,,yes,Computer Science & Information Technology,IELTS,no,,yes,Australia,,,AUD,no,Months,"Take your career in design further with this advanced dual qualification. Get the specialised technical skills required to work in advertising, or as a senior graphic designer.",no,no,Brisbane,year,"16,893",
English,ADIP,,yes,A,https://tafeqld.edu.au/oneweb/courses/18108/advanced-diploma-of-electronics-and-communications-engineering,5.5,,TAFE Queensland,Advanced Diploma of Electronics and Communications Engineering,6,,yes,Engineering,IELTS,yes,"25,000",no,Australia,,,AUD,no,Months,Redefine your career in electronics and communications with this advanced course and develop the specialised skills and knowledge to become a senior technical officer.,yes,no,Brisbane,year,"25,335",
English,ADIP,,yes,D,https://tafeqld.edu.au/oneweb/courses/17999/advanced-diploma-of-program-management,5.5,,TAFE Queensland,Advanced Diploma of Program Management,18,,yes,Business & Commerce & Finance & Accounting,IELTS,yes,,no,Australia,,,AUD,yes, Weeks,Take control of your career with this high-level course designed to help you succeed in the fast paced and dynamic world of program management.,yes,no,Brisbane,year,"5,330",
English,ADIP,,yes,D,https://tafeqld.edu.au/oneweb/courses/18127/advanced-diploma-of-graphic-design,5.5,,TAFE Queensland,Advanced Diploma of Graphic Design,6,,yes,Computer Science & Information Technology,IELTS,no,,yes,Australia,,,AUD,no,Months,"Complete further learning and elevate your graphic design skills with this advanced course. This qualification will give you the specialised technical, creative, and conceptual skills required to provide complex design solutions.",no,no,Brisbane,year,"6,195",
English,ADIP,,yes,D,https://tafeqld.edu.au/oneweb/courses/17753/advanced-diploma-of-leadership-and-management,5.5,,TAFE Queensland,Advanced Diploma of Leadership and Management,6,,yes,Humanities and Social Science,IELTS,yes,,no,Australia,,,AUD,yes,Months,Upgrade your career in business with this advanced qualification that will give you the skills to seek employment as a human resources manager or senior executive.,yes,no,Brisbane,year,"5,330",
English,ADIP,,yes,A,https://tafeqld.edu.au/oneweb/courses/17857/advanced-diploma-of-engineering-technology-electrical,5.5,,TAFE Queensland,Advanced Diploma of Engineering Technology - Electrical,4,,yes,Engineering,IELTS,yes,"24,800",yes,Australia,,,AUD,yes,Years,Take control of your career with this high-level course and develop the highly specialised skills and knowledge required to become an electrical engineering technician.,yes,no,Brisbane,year,"23,646",
English,ADIP,,yes,A,https://tafeqld.edu.au/oneweb/courses/17857/advanced-diploma-of-engineering-technology-electrical,5.5,,TAFE Queensland,Advanced Diploma of Engineering Technology - Electrical,4,,yes,Engineering,IELTS,yes,"24,800",yes,Australia,,,AUD,yes,Years,Take control of your career with this high-level course and develop the highly specialised skills and knowledge required to become an electrical engineering technician.,yes,no,Queensland,year,"23,646",
English,DIP,,yes,A,https://tafeqld.edu.au/oneweb/courses/17807/diploma-of-applied-fashion-design-and-merchandising,5.5,,TAFE Queensland,Diploma of Applied Fashion Design and Merchandising,18,,yes,"Architecture, Building & Planning",IELTS,no,"21,600",yes,Australia,,,AUD,no,Months,Ignite your creative flair for fashion with this diploma-level qualification from TAFE Queensland. This course is ideal for people seeking employment in the design and retail sectors of the fashion industry.,no,no,Brisbane,year,"21,350",
English,DIP,,yes,D,https://tafeqld.edu.au/oneweb/courses/17667/diploma-of-business,5.5,,TAFE Queensland,Diploma of Business,1,,yes,Business & Commerce & Finance & Accounting,IELTS,yes,,no,Australia,,,AUD,no,Year,Thrive in a career in business with this high-level qualification. This course is perfect for people who want to elevate their skills at a management or executive level.,yes,no,Brisbane,year,"5,420",
English,DIP,,yes,D,https://tafeqld.edu.au/oneweb/courses/17667/diploma-of-business,5.5,,TAFE Queensland,Diploma of Business,1,,yes,Business & Commerce & Finance & Accounting,IELTS,yes,,no,Australia,,,AUD,no,Year,Thrive in a career in business with this high-level qualification. This course is perfect for people who want to elevate their skills at a management or executive level.,yes,no,Queensland,year,"5,420",
English,DIP,,yes,D,https://tafeqld.edu.au/oneweb/courses/17667/diploma-of-business,5.5,,TAFE Queensland,Diploma of Business,1,,yes,Business & Commerce & Finance & Accounting,IELTS,yes,,no,Australia,,,AUD,no,Year,Thrive in a career in business with this high-level qualification. This course is perfect for people who want to elevate their skills at a management or executive level.,yes,no,Queensland,year,"5,420",
English,DIP,,yes,D,https://tafeqld.edu.au/oneweb/courses/17667/diploma-of-business,5.5,,TAFE Queensland,Diploma of Business,1,,yes,Business & Commerce & Finance & Accounting,IELTS,yes,,no,Australia,,,AUD,no,Year,Thrive in a career in business with this high-level qualification. This course is perfect for people who want to elevate their skills at a management or executive level.,yes,no,Queensland,year,"5,420",
English,DIP,,yes,D,https://tafeqld.edu.au/oneweb/courses/18476/diploma-of-screen-and-media,5.5,,TAFE Queensland,Diploma of Screen and Media,1,,yes,Mass Communication & Media,IELTS,yes,,no,Australia,,,AUD,no,Year,Establish your career in makeup with this specialised qualification in screen and media at Huxley School of Makeup in partnership with TAFE Queensland. You will learn the advanced skills needed to thrive as a specialist makeup artist.,yes,no,Queensland,year,"18,500",
English,DIP,,yes,D,https://tafeqld.edu.au/oneweb/courses/18476/diploma-of-screen-and-media,5.5,,TAFE Queensland,Diploma of Screen and Media,1,,yes,Mass Communication & Media,IELTS,yes,,no,Australia,,,AUD,no,Year,Establish your career in makeup with this specialised qualification in screen and media at Huxley School of Makeup in partnership with TAFE Queensland. You will learn the advanced skills needed to thrive as a specialist makeup artist.,yes,no,Queensland,year,"18,500",
English,DIP,,yes,A,https://tafeqld.edu.au/oneweb/courses/17849/diploma-of-music-industry,5.5,,TAFE Queensland,Diploma of Music Industry,1,,yes,Computer Science & Information Technology,IELTS,no,"17,500",yes,Australia,,,AUD,no,Year,Enrich your career in the music industry with this advanced-level qualification. You'll get the specialised skills needed to become an assistant sound engineer or composer.,no,no,Brisbane,year,"14,625",
English,DIP,,yes,A,https://tafeqld.edu.au/oneweb/courses/17849/diploma-of-music-industry,5.5,,TAFE Queensland,Diploma of Music Industry,1,,yes,Computer Science & Information Technology,IELTS,no,"17,500",yes,Australia,,,AUD,no,Year,Enrich your career in the music industry with this advanced-level qualification. You'll get the specialised skills needed to become an assistant sound engineer or composer.,no,no,Queensland,year,"14,625",
English,DIP,,yes,A,https://tafeqld.edu.au/oneweb/courses/17950/diploma-of-travel-and-tourism-management,5.5,,TAFE Queensland,Diploma of Travel and Tourism Management,1,,yes,Tourism and Hotel Management,IELTS,yes,"14,400",yes,Australia,,,AUD,no,Year,Take your career in travel and tourism to the next level with this advanced-level course that will qualify you to work as a travel or tourism manager.,yes,no,Brisbane,year,"10,445",
English,DIP,,yes,A,https://tafeqld.edu.au/oneweb/courses/17950/diploma-of-travel-and-tourism-management,5.5,,TAFE Queensland,Diploma of Travel and Tourism Management,1,,yes,Tourism and Hotel Management,IELTS,yes,"14,400",yes,Australia,,,AUD,no,Year,Take your career in travel and tourism to the next level with this advanced-level course that will qualify you to work as a travel or tourism manager.,yes,no,Queensland,year,"10,445",
English,DIP,,yes,D,https://tafeqld.edu.au/oneweb/courses/17908/diploma-of-landscape-design,5.5,,TAFE Queensland,Diploma of Landscape Design,3,,yes,Creative Arts & Design & Music,IELTS,no,,yes,Australia,,,AUD,no,Years,Develop your career in landscaping with this high-level course that will give you the advanced skills and knowledge to become a landscape designer.,no,no,Brisbane,year,"17,330",
English,DIP,,yes,A,https://tafeqld.edu.au/oneweb/courses/17782/diploma-of-visual-arts,5.5,,TAFE Queensland,Diploma of Visual Arts,1,,yes,Creative Arts & Design & Music,IELTS,no,"16,400",yes,Australia,,,AUD,no,Year,Unlock your creative talents with this visual arts diploma qualification. This course is perfect for individuals seeking self employment or work within the wider creative industries community.,no,no,Brisbane,year,"15,705",
English,DIP,,yes,A,https://tafeqld.edu.au/oneweb/courses/17782/diploma-of-visual-arts,5.5,,TAFE Queensland,Diploma of Visual Arts,1,,yes,Creative Arts & Design & Music,IELTS,no,"16,400",yes,Australia,,,AUD,no,Year,Unlock your creative talents with this visual arts diploma qualification. This course is perfect for individuals seeking self employment or work within the wider creative industries community.,no,no,Queensland,year,"15,705",
English,DIP,,yes,I,https://tafeqld.edu.au/oneweb/courses/18228/certificate-iv-in-commercial-cookery-diploma-of-hospitality-management,5.5,,TAFE Queensland,Certificate IV in Commercial Cookery / Diploma of Hospitality Management,2,,yes,Culinary,IELTS,no,"28,000",yes,Australia,,,AUD,no,Years,Study and work in Australia's restaurants with this dual award that will qualify you to become a chef or restaurant manager.,no,no,Brisbane,year,,
English,DIP,,yes,I,https://tafeqld.edu.au/oneweb/courses/18228/certificate-iv-in-commercial-cookery-diploma-of-hospitality-management,5.5,,TAFE Queensland,Certificate IV in Commercial Cookery / Diploma of Hospitality Management,2,,yes,Culinary,IELTS,no,"28,000",yes,Australia,,,AUD,no,Years,Study and work in Australia's restaurants with this dual award that will qualify you to become a chef or restaurant manager.,no,no,Queensland,year,,
English,DIP,,yes,I,https://tafeqld.edu.au/oneweb/courses/18228/certificate-iv-in-commercial-cookery-diploma-of-hospitality-management,5.5,,TAFE Queensland,Certificate IV in Commercial Cookery / Diploma of Hospitality Management,2,,yes,Culinary,IELTS,no,"28,000",yes,Australia,,,AUD,no,Years,Study and work in Australia's restaurants with this dual award that will qualify you to become a chef or restaurant manager.,no,no,Queensland,year,,
English,DIP,,yes,I,https://tafeqld.edu.au/oneweb/courses/18228/certificate-iv-in-commercial-cookery-diploma-of-hospitality-management,5.5,,TAFE Queensland,Certificate IV in Commercial Cookery / Diploma of Hospitality Management,2,,yes,Culinary,IELTS,no,"28,000",yes,Australia,,,AUD,no,Years,Study and work in Australia's restaurants with this dual award that will qualify you to become a chef or restaurant manager.,no,no,Queensland,year,,
English,DIP,,yes,D,https://tafeqld.edu.au/oneweb/courses/18874/diploma-of-business-diploma-of-leadership-and-management,5.5,,TAFE Queensland,Diploma of Business / Diploma of Leadership and Management,1,,yes,Humanities and Social Science,IELTS,yes,,yes,Australia,,,AUD,no,Year,Establish your career in business and management with this high-level double diploma and gain the advanced skills and specialised knowledge needed to work at a strategic level.,yes,no,Queensland,year,,
English,DIP,,yes,A,https://tafeqld.edu.au/oneweb/courses/18230/diploma-of-event-management-diploma-of-hospitality-management,5.5,,TAFE Queensland,Diploma of Event Management / Diploma of Hospitality Management,18,,yes,Tourism and Hotel Management,IELTS,no,"21,000",yes,Australia,,,AUD,no,Months,Take the next step in your career in hospitality and events with this advanced-level double qualification and get the skills you need to take on a management role in the industry.,no,no,Queensland,year,"20,550",
English,DIP,,yes,D,https://tafeqld.edu.au/oneweb/courses/18166/diploma-of-alcohol-and-other-drugs-diploma-of-mental-health,5.5,,TAFE Queensland,Diploma of Alcohol and Other Drugs / Diploma of Mental Health,2,,yes,English,IELTS,yes,,yes,Australia,,,AUD,no,Years,"Upgrade your career in the community services or health industry with this advanced-level course that will qualify you to work in mental health, specialising in alcohol and drug services.",yes,no,Queensland,year,"7,420",
English,DIP,,yes,A,https://tafeqld.edu.au/oneweb/courses/17874/diploma-of-business-diploma-of-leadership-and-management,5.5,,TAFE Queensland,Diploma of Business / Diploma of Leadership and Management,1,,yes,Humanities and Social Science,IELTS,yes,"14,000",no,Australia,,,AUD,no,Year,Establish your career in business and management with this high-level double diploma and gain the advanced skills and specialised knowledge needed to work at a strategic level.,yes,no,Brisbane,year,"8,125",
English,DIP,,yes,A,https://tafeqld.edu.au/oneweb/courses/17874/diploma-of-business-diploma-of-leadership-and-management,5.5,,TAFE Queensland,Diploma of Business / Diploma of Leadership and Management,1,,yes,Humanities and Social Science,IELTS,yes,"14,000",no,Australia,,,AUD,no,Year,Establish your career in business and management with this high-level double diploma and gain the advanced skills and specialised knowledge needed to work at a strategic level.,yes,no,Queensland,year,"8,125",
English,DIP,,yes,A,https://tafeqld.edu.au/oneweb/courses/17874/diploma-of-business-diploma-of-leadership-and-management,5.5,,TAFE Queensland,Diploma of Business / Diploma of Leadership and Management,1,,yes,Humanities and Social Science,IELTS,yes,"14,000",no,Australia,,,AUD,no,Year,Establish your career in business and management with this high-level double diploma and gain the advanced skills and specialised knowledge needed to work at a strategic level.,yes,no,Queensland,year,"8,125",
English,DIP,,yes,A,https://tafeqld.edu.au/oneweb/courses/17874/diploma-of-business-diploma-of-leadership-and-management,5.5,,TAFE Queensland,Diploma of Business / Diploma of Leadership and Management,1,,yes,Humanities and Social Science,IELTS,yes,"14,000",no,Australia,,,AUD,no,Year,Establish your career in business and management with this high-level double diploma and gain the advanced skills and specialised knowledge needed to work at a strategic level.,yes,no,Queensland,year,"8,125",
English,DIP,,yes,A,https://tafeqld.edu.au/oneweb/courses/17768/diploma-of-dental-technology,5.5,,TAFE Queensland,Diploma of Dental Technology,2,,yes,Computer Science & Information Technology,IELTS,no,"32,800",yes,Australia,,,AUD,no,Years,Take the next step in your career in oral health care with this diploma course that will qualify you to become a dental technician.,no,no,Brisbane,year,"30,105",
English,DIP,,yes,A,https://tafeqld.edu.au/oneweb/courses/17777/diploma-of-digital-and-interactive-games,5.5,,TAFE Queensland,Diploma of Digital and Interactive Games,1,,yes,Computer Science & Information Technology,IELTS,no,"14,400",yes,Australia,,,AUD,no,Year,Take your understanding of the digital and interactive games industry to the next level with this diploma qualification. This course is ideal for people seeking employment in the gaming and web design environment.,no,no,Brisbane,year,"13,540",
English,DIP,,yes,A,https://tafeqld.edu.au/oneweb/courses/17851/diploma-of-building-design-diploma-of-interior-design,5.5,,TAFE Queensland,Diploma of Building Design / Diploma of Interior Design,2,,yes,"Architecture, Building & Planning",IELTS,no,"28,800",yes,Australia,,,AUD,no,Years,"Elevate your career with this high-level, double diploma and gain the advanced skills and specialised knowledge to work as an interior designer or building designer.",no,no,Brisbane,year,"24,765",
English,DIP,,yes,D,https://tafeqld.edu.au/oneweb/courses/18219/certificate-iii-in-beauty-services-diploma-of-beauty-therapy,5.5,,TAFE Queensland,Certificate III in Beauty Services / Diploma of Beauty Therapy,1,,yes,Business & Commerce & Finance & Accounting,IELTS,yes,,yes,Australia,,,AUD,no,Year,Upgrade your career in beauty with this high-level dual qualification and become a beauty therapist or makeup artist.,yes,no,Queensland,year,"15,162",
English,DIP,,yes,D,https://tafeqld.edu.au/oneweb/courses/17695/diploma-of-youth-work,5.5,,TAFE Queensland,Diploma of Youth Work,2,,yes,Education,IELTS,yes,,yes,Australia,,,AUD,no,Years,Take the next step in your career in youth work with this advanced qualification that gives you the skills you need to work with young people in diverse settings.,yes,no,Brisbane,year,"9,580",
English,DIP,,yes,D,https://tafeqld.edu.au/oneweb/courses/17695/diploma-of-youth-work,5.5,,TAFE Queensland,Diploma of Youth Work,2,,yes,Education,IELTS,yes,,yes,Australia,,,AUD,no,Years,Take the next step in your career in youth work with this advanced qualification that gives you the skills you need to work with young people in diverse settings.,yes,no,Queensland,year,"9,580",
English,DIP,,yes,D,https://tafeqld.edu.au/oneweb/courses/17695/diploma-of-youth-work,5.5,,TAFE Queensland,Diploma of Youth Work,2,,yes,Education,IELTS,yes,,yes,Australia,,,AUD,no,Years,Take the next step in your career in youth work with this advanced qualification that gives you the skills you need to work with young people in diverse settings.,yes,no,Queensland,year,"9,580",
English,DIP,,yes,D,https://tafeqld.edu.au/oneweb/courses/17695/diploma-of-youth-work,5.5,,TAFE Queensland,Diploma of Youth Work,2,,yes,Education,IELTS,yes,,yes,Australia,,,AUD,no,Years,Take the next step in your career in youth work with this advanced qualification that gives you the skills you need to work with young people in diverse settings.,yes,no,Queensland,year,"9,580",
English,DIP,,yes,A,https://tafeqld.edu.au/oneweb/courses/17790/diploma-of-graphic-design,5.5,,TAFE Queensland,Diploma of Graphic Design,1,,yes,Computer Science & Information Technology,IELTS,no,"17,000",yes,Australia,,,AUD,no,Year,"Channel your creative flair with this diploma qualification from TAFE Queensland. This course is ideal for people seeking to advance or develop skills in graphic design, digital arts and visual communications.",no,no,Brisbane,year,"16,150",
English,DIP,,yes,A,https://tafeqld.edu.au/oneweb/courses/17790/diploma-of-graphic-design,5.5,,TAFE Queensland,Diploma of Graphic Design,1,,yes,Computer Science & Information Technology,IELTS,no,"17,000",yes,Australia,,,AUD,no,Year,"Channel your creative flair with this diploma qualification from TAFE Queensland. This course is ideal for people seeking to advance or develop skills in graphic design, digital arts and visual communications.",no,no,Queensland,year,"16,150",
English,DIP,,yes,A,https://tafeqld.edu.au/oneweb/courses/17841/diploma-of-music-industry,5.5,,TAFE Queensland,Diploma of Music Industry,1,,yes,Computer Science & Information Technology,IELTS,yes,"17,500",yes,Australia,,,AUD,yes,Year,Enrich your career in the music industry with this advanced-level qualification. You'll get the specialised skills needed to become a performer or composer.,yes,no,Brisbane,year,"14,625",
English,DIP,,yes,A,https://tafeqld.edu.au/oneweb/courses/17841/diploma-of-music-industry,5.5,,TAFE Queensland,Diploma of Music Industry,1,,yes,Computer Science & Information Technology,IELTS,yes,"17,500",yes,Australia,,,AUD,yes,Year,Enrich your career in the music industry with this advanced-level qualification. You'll get the specialised skills needed to become a performer or composer.,yes,no,Queensland,year,"14,625",
English,DIP,,yes,A,https://tafeqld.edu.au/oneweb/courses/17841/diploma-of-music-industry,5.5,,TAFE Queensland,Diploma of Music Industry,1,,yes,Computer Science & Information Technology,IELTS,yes,"17,500",yes,Australia,,,AUD,yes,Year,Enrich your career in the music industry with this advanced-level qualification. You'll get the specialised skills needed to become a performer or composer.,yes,no,Queensland,year,"14,625",
